date;Number_of_deaths;Number_of_deaths_rep_lag
11/10/21;5;6
12/10/21;4;5
13/10/21;7;5
14/10/21;4;4
15/10/21;1;7
16/10/21;6;4
17/10/21;5;1
18/10/21;5;6
19/10/21;3;5
20/10/21;4;5
21/10/21;4;3
22/10/21;3;4
23/10/21;3;4
24/10/21;1;3
25/10/21;5;3
26/10/21;3;1
27/10/21;4;5
28/10/21;6;3
29/10/21;4;4
30/10/21;1;6
31/10/21;4;4
1/11/21;1;1
2/11/21;4;4
3/11/21;5;1
4/11/21;0;4
5/11/21;3;5
6/11/21;5;0
7/11/21;1;3
8/11/21;1;5
9/11/21;3;1
